CATEGORIA,SUBCATEGORIA,PALABRAS_CLAVE
Motor,Pistones,"pistón, pistones, émbolo"
Motor,Bielas,"biela, bielas"
Motor,Cigüeñal,"cigüeñal, cigueñal, crankshaft"
Motor,Válvulas,"válvula, válvulas de escape, válvulas de admisión"
Motor,Bujías,"bujía, bujías, spark plug, chispa"
Motor,Empaques,"empaque, empaque de cámara, junta, junta de culata, empacadura"
Motor,Bomba de aceite,"bomba aceite, oil pump"
Motor,Bomba de agua,"bomba agua, water pump"
Motor,Bomba de gasolina,"bomba gasolina, pila de gasolina, fuel pump, bomba de combustible"
Motor,Correa de tiempo,"correa tiempo, correa distribución, timing belt, banda de tiempo"
Motor,Cadena de tiempo,"cadena tiempo, timing chain"
Motor,Kit de tiempo,"kit tiempo, kit distribución, kit correa"
Motor,Termostato,"termostato, thermostat"
Motor,Radiador,"radiador, radiator"
Motor,Culata,"culata, cámara, cylinder head, tapa de cilindro"
Motor,Árbol de levas,"árbol de levas, camshaft, eje de levas"
Motor,Carter,"carter, cárter, bandeja de aceite, oil pan"
Motor,Anillos,"anillos, aros de pistón, rings"
Motor,Conchas de biela,"conchas biela, conchas de bancada, cojinetes, bearings"
Motor,Mangueras de motor,"manguera, mangueras, hose"
Motor,Inyectores,"inyector, inyectores, injector, fuel injector"
Motor,Múltiple de admisión,"múltiple admisión, manifold, colector admisión"
Motor,Múltiple de escape,"múltiple escape, manifold escape, colector escape, header"
Motor,Tapa de válvulas,"tapa válvulas, valve cover"
Motor,Poleas,"polea, poleas, pulley"
Motor,Tensor de correa,"tensor, tensioner, tensor correa"
Transmisión,Caja de cambios,"caja cambios, transmisión, gearbox"
Transmisión,Embrague,"embrague, clutch, croche, cloche"
Transmisión,Cardán,"cardán, cardan, drive shaft"
Transmisión,Diferencial,"diferencial, differential"
Transmisión,Kit de embrague,"kit embrague, kit clutch, kit croche, plato, disco"
Transmisión,Tripoide,"tripoide, tripoid, CV joint, junta homocinética"
Transmisión,Punta de tripoide,"punta tripoide, outer CV, punta de eje"
Transmisión,Guardapolvo,"guardapolvo, boot, fuelle, goma tripoide"
Transmisión,Soporte de caja,"soporte caja, base caja, transmission mount"
Transmisión,Cruceta,"cruceta, universal joint, u-joint"
Transmisión,Aceite de caja,"aceite caja, aceite transmisión, ATF, gear oil"
Suspensión,Amortiguadores,"amortiguador, amortiguadores, shock absorber"
Suspensión,Resortes,"resorte, resortes, espiral, spring"
Suspensión,Rótulas,"rótula, rótulas, ball joint"
Suspensión,Bujes,"buje, bujes, bushing, goma"
Suspensión,Barras,"barra estabilizadora, barra, stabilizer bar, sway bar"
Suspensión,Mesetas,"meseta, mesetas, control arm, brazo de suspensión"
Suspensión,Terminales,"terminal, terminales, tie rod end"
Suspensión,Bases de amortiguador,"base amortiguador, soporte amortiguador, strut mount"
Suspensión,Ballestas,"ballesta, ballestas, leaf spring"
Suspensión,Cazoletas,"cazoleta, cazoletas, spring seat"
Suspensión,Gomas de estabilizadora,"goma estabilizadora, buje estabilizadora, sway bar bushing"
Suspensión,Brazo axial,"brazo axial, inner tie rod"
Frenos,Pastillas,"pastilla, pastillas, balata, balatas, brake pad"
Frenos,Discos,"disco, discos de freno, brake rotor, brake disc"
Frenos,Tambores,"tambor, tambores, brake drum"
Frenos,Líquido de frenos,"líquido frenos, brake fluid, DOT3, DOT4, DOT5"
Frenos,Calibradores,"calibrador, caliper, mordaza"
Frenos,Bandas de freno,"banda, bandas, brake shoe, zapata"
Frenos,Bomba de freno,"bomba freno, master cylinder, cilindro maestro"
Frenos,Cilindro de rueda,"cilindro rueda, wheel cylinder"
Frenos,Manguera de freno,"manguera freno, brake hose, latiguillos"
Frenos,Guaya de freno,"guaya freno, cable freno, parking brake cable, freno de mano"
Frenos,Servo freno,"servo, booster, hidrovac"
Eléctrico,Alternador,"alternador, alternator"
Eléctrico,Motor de arranque,"arranque, starter, motor arranque, marcha"
Eléctrico,Batería,"batería, battery, acumulador, Duncan"
Eléctrico,Bobinas,"bobina, bobinas, coil, ignition coil"
Eléctrico,Sensores,"sensor, sensores, sensor oxígeno, sensor MAP, TPS, CKP"
Eléctrico,Electroventilador,"electroventilador, electric fan, ventilador radiador"
Eléctrico,Relay,"relay, relé, relevador"
Eléctrico,Fusibles,"fusible, fusibles, fuse"
Eléctrico,Cables de bujía,"cable bujía, cables bujías, spark plug wire, ignition wire"
Eléctrico,Módulo de encendido,"módulo encendido, ignition module"
Eléctrico,Regulador de voltaje,"regulador voltaje, voltage regulator"
Eléctrico,Switch de encendido,"switch, switch encendido, ignition switch, llave contacto"
Eléctrico,Computadora,"computadora, ECU, PCM, módulo motor, centralita"
Carrocería,Parachoques,"parachoques, bumper, defensa"
Carrocería,Guardafangos,"guardafango, guardafangos, fender"
Carrocería,Capó,"capó, capo, hood, cofre"
Carrocería,Puertas,"puerta, puertas, door"
Carrocería,Espejos,"espejo, espejos, retrovisor, mirror"
Carrocería,Compuerta trasera,"compuerta, tailgate, fifth door"
Carrocería,Bisagras,"bisagra, bisagras, hinge"
Carrocería,Cerraduras,"cerradura, cerraduras, lock, seguro"
Carrocería,Manillas,"manilla, manillas, handle, manija"
Carrocería,Vidrios,"vidrio, vidrios, parabrisas, windshield, glass, luna"
Carrocería,Molduras,"moldura, molduras, trim, embellecedor"
Carrocería,Alerón,"alerón, spoiler, cola de pato"
Iluminación,Faros,"faro, faros, headlight, headlamp, luz delantera"
Iluminación,Stops,"stop, stops, taillight, luz trasera, calavera"
Iluminación,Bombillos,"bombillo, bombillos, bulb, led, halógeno"
Iluminación,Exploradoras,"exploradora, exploradoras, fog light, neblinero"
Iluminación,Cocuyos,"cocuyo, cocuyos, side marker, luz lateral"
Iluminación,Tercera luz de freno,"tercera luz, third brake light, CHMSL"
Iluminación,Luz de retroceso,"luz reversa, reverse light, luz retroceso"
Iluminación,Barra LED,"barra led, light bar"
Interior,Tapicería,"tapicería, tapizado, upholstery, forro asiento"
Interior,Tablero,"tablero, dashboard, panel"
Interior,Alfombras,"alfombra, alfombras, floor mat, bandeja"
Interior,Manillas interiores,"manilla interior, handle interior"
Interior,Cinturón de seguridad,"cinturón, cinturón seguridad, seatbelt"
Interior,Perillas,"perilla, perillas, knob, pomo"
Interior,Guantera,"guantera, glove box"
Interior,Parasol,"parasol, visor, sun visor"
Interior,Reloj,"reloj, clock, indicador"
Neumáticos,Cauchos,"caucho, cauchos, neumático, tire, llanta, goma"
Neumáticos,Rines,"rin, rines, rim, wheel, aro"
Neumáticos,Válvulas de aire,"válvula aire, valve stem, pito"
Neumáticos,Tapas de rin,"tapa rin, hubcap, copas"
Neumáticos,Tuercas de rin,"tuerca, tuercas rin, lug nut"
Neumáticos,Caucho de repuesto,"caucho repuesto, spare tire, caucho auxilio"
Filtros,Filtro de aceite,"filtro aceite, oil filter"
Filtros,Filtro de aire,"filtro aire, air filter"
Filtros,Filtro de combustible,"filtro combustible, filtro gasolina, fuel filter"
Filtros,Filtro de cabina,"filtro cabina, cabin filter, filtro polen, filtro aire acondicionado"
Filtros,Filtro de transmisión,"filtro transmisión, transmission filter, filtro caja"
Dirección,Bomba de dirección,"bomba dirección, power steering pump"
Dirección,Caja de dirección,"caja dirección, steering rack, cremallera"
Dirección,Columna de dirección,"columna, steering column"
Dirección,Aceite de dirección,"aceite dirección, power steering fluid"
Dirección,Manguera de dirección,"manguera dirección, power steering hose"
Dirección,Cruceta de dirección,"cruceta dirección, steering u-joint"
Refrigeración y A/C,Compresor de A/C,"compresor, compresor aire, AC compressor, aire acondicionado"
Refrigeración y A/C,Condensador,"condensador, condenser, condensador aire"
Refrigeración y A/C,Evaporador,"evaporador, evaporator"
Refrigeración y A/C,Válvula de expansión,"válvula expansión, expansion valve, TXV"
Refrigeración y A/C,Filtro secador,"filtro secador, receiver drier, acumulador AC"
Refrigeración y A/C,Mangueras de A/C,"manguera AC, AC hose"
Refrigeración y A/C,Gas refrigerante,"gas refrigerante, R134a, R1234yf, freón"
Refrigeración y A/C,Ventilador,"ventilador, fan, motoventilador"
Escape,Catalizador,"catalizador, catalytic converter, catálisis"
Escape,Silenciador,"silenciador, muffler, mofle"
Escape,Tubo de escape,"tubo escape, exhaust pipe"
Escape,Sensor de oxígeno,"sensor oxígeno, O2 sensor, sonda lambda"
Escape,Abrazaderas de escape,"abrazadera, clamp, abrazadera escape"
Escape,Resonador,"resonador, resonator"
Lubricantes y Fluidos,Aceite de motor,"aceite motor, engine oil, 5W30, 10W40, 20W50, sintético, mineral"
Lubricantes y Fluidos,Aceite de caja,"aceite caja, ATF, gear oil, transmission fluid"
Lubricantes y Fluidos,Refrigerante,"refrigerante, coolant, anticongelante"
Lubricantes y Fluidos,Líquido de frenos,"líquido frenos, brake fluid, DOT3, DOT4"
Lubricantes y Fluidos,Aceite de dirección,"aceite dirección, power steering fluid"
Lubricantes y Fluidos,Aditivos,"aditivo, aditivos, additive, limpiador inyectores"
Lubricantes y Fluidos,Grasa,"grasa, grease, lubricante"
Lubricantes y Fluidos,Agua destilada,"agua destilada, distilled water, agua batería"
Accesorios,Limpiaparabrisas,"limpiaparabrisas, plumilla, wiper, escobilla"
Accesorios,Antena,"antena, antenna"
Accesorios,Calcomanías,"calcomanía, sticker, emblema"
Accesorios,Cargador USB,"cargador, USB, adaptador"
Accesorios,Porta placas,"porta placa, license plate frame"
Accesorios,Alarma,"alarma, alarm, security system, anti robo"
Accesorios,Corneta,"corneta, bocina, horn, claxon"
Accesorios,Gato hidráulico,"gato, jack, gato hidráulico"
Accesorios,Llave de rueda,"llave rueda, lug wrench, cruceta"
